Address,Price,Beds,Baths,Size
"2227 Hutchison Rd, Flossmoor, IL 60422","$389,000",6 beds,2.5 baths,"1,953 sq ft"
"7059 26th Pkwy, Berwyn, IL 60402","$419,900",4 beds,2.5 baths,"2,498 sq ft"
"2306 W Touhy Ave #204, Chicago, IL 60645","$377,000",2 beds,2 baths,"1,300 sq ft"
"2336 Stoughton Cir, Aurora, IL 60502","$330,000",3 beds,2.5 baths,"1,668 sq ft"
"1509 Iroquois Ave, St. Charles, IL 60174","$674,900",5 beds,4.5 baths,"2,966 sq ft"
"1519 Dovetail Dr, Hartford, WI 53027","$464,900",4 beds,2.5 baths,"2,488 sq ft"
"5930 S Narragansett Ave, Chicago, IL 60638","$390,000",3 beds,3 baths,"1,732 sq ft"
"2307 Robincrest Ln, Glenview, IL 60025","$609,900",3 beds,3 baths,"1,587 sq ft"
"32 W 109th Pl, Chicago, IL 60628","$210,000",3 beds,2.5 baths,"1,717 sq ft"
"21 W 114th Pl, Chicago, IL 60628","$195,000",5 beds,2 baths,"1,573 sq ft"
"120 N 18th St, Chesterton, IN 46304","$199,900",3 beds,1 bath,"1,128 sq ft"
"7714 N Paulina St Unit 1S, Chicago, IL 60626","$359,000",3 beds,2.5 baths,"1,809 sq ft"
"444 W Fullerton Pkwy #1909, Chicago, IL 60614","$425,000",2 beds,2 baths,— sq ft
"647 Garfield St #1, Oak Park, IL 60304","$189,900",2 beds,1 bath,900 sq ft
"4418 Euclid Ave Unit 2B, Rolling Meadows, IL 60008","$240,000",2 beds,2 baths,"1,200 sq ft"
"3110 W Berteau Ave #1, Chicago, IL 60618","$349,000",3 beds,2 baths,"1,350 sq ft"
"2809 W Washington Blvd #101, Chicago, IL 60612","$159,000",1 bed,1 bath,— sq ft
"3445 N Oakley Ave, Chicago, IL 60618","$875,000",6 beds,4 baths,— sq ft
"1161 Sequoia Rd, Naperville, IL 60540","$590,000",4 beds,2.5 baths,"2,376 sq ft"
"1034 S Cedarcrest Dr, Schaumburg, IL 60193","$425,000",3 beds,2 baths,"1,000 sq ft"
"14823 Ivy St, Cedar Lake, IN 46303","$379,900",4 beds,3 baths,"2,206 sq ft"
"4157 N Bernard St #2, Chicago, IL 60618","$245,000",2 beds,1 bath,— sq ft
"2817 N Oakley Ave Unit 3E, Chicago, IL 60618","$525,000",2 beds,2 baths,"1,300 sq ft"
"530 N Paulina St, Chicago, IL 60622","$1,289,000",3 beds,3.5 baths,"2,586 sq ft"
"125 E 13th St #1114, Chicago, IL 60605","$279,900",1 bed,1 bath,800 sq ft
"2080 N Commerce St #409, Milwaukee, WI 53212","$159,900",1 bed,1 bath,748 sq ft
"2208 Wooded Ridge Trl, Cottage Grove, WI 53527","$695,000",4 beds,3.5 baths,"3,285 sq ft"
"32038 Savannah Dr, Lakemoor, IL 60051","$599,900",5 beds,3.5 baths,"3,612 sq ft"
"7910 S Greenwood Ave, Chicago, IL 60619","$350,000",11 beds,5 baths,— sq ft
"5750 S Merrimac Ave, Chicago, IL 60638","$535,000",4 beds,3 baths,"1,827 sq ft"
"10563 S Central Park Ave, Chicago, IL 60655","$315,000",3 beds,2 baths,"1,200 sq ft"
"1780 Rolling Hills Dr, Woodstock, IL 60098","$525,000",4 beds,3 baths,"3,246 sq ft"
"5210 S King Dr Unit F, Chicago, IL 60615","$435,000",4 beds,2.5 baths,"2,340 sq ft"
"2 E Erie St #3609, Chicago, IL 60611","$499,000",2 beds,2 baths,"1,175 sq ft"
"19W719 Holtz Ave, Addison, IL 60101","$413,999",3 beds,2 baths,"1,421 sq ft"
"8475 Merchant Ct, Lakewood, IL 60014","$320,000",3 beds,2.5 baths,"2,471 sq ft"
"617 South Blvd Unit G, Oak Park, IL 60302","$314,900",3 beds,2.5 baths,"1,460 sq ft"
"9355 Irving Park Rd #419, Schiller Park, IL 60176","$274,900",2 beds,2 baths,"1,680 sq ft"
"364 65th St, Willowbrook, IL 60527","$769,000",4 beds,3.5 baths,"3,568 sq ft"
"2495 N Milwaukee Ave Unit 3N, Chicago, IL 60647","$639,900",3 beds,2 baths,"1,283 sq ft"
"W5709 Fox Hill Rd, Fort Atkinson, WI 53538","$2,999,999",11 beds,5 baths,"8,800 sq ft"
"3327 W Glenlake Ave, Chicago, IL 60659","$898,900",6 beds,4.5 baths,"4,230 sq ft"
"639 Kenwood Ct, Dekalb, IL 60115","$199,000",2 beds,1.5 baths,"1,500 sq ft"
"14810 Maplewood Ave, Harvey, IL 60426","$50,000",3 beds,1 bath,864 sq ft
"1101 S State St #1300, Chicago, IL 60605","$399,000",3 beds,2 baths,"1,480 sq ft"
"1715 W Ohio St Unit 2N, Chicago, IL 60622","$600,000",2 beds,2 baths,— sq ft
"701 W 92nd St, Chicago, IL 60620","$215,000",3 beds,1 bath,"1,036 sq ft"
"1307 W Schubert Ave, Chicago, IL 60614","$1,525,000",5 beds,3.5 baths,"3,500 sq ft"
"2503 Fulle St, Rolling Meadows, IL 60008","$319,000",3 beds,1 bath,"1,121 sq ft"
"655 W Irving Park Rd #5306, Chicago, IL 60613","$235,000",1 bed,1 bath,816 sq ft
"34128 N Wooded Glen Dr, Grayslake, IL 60030","$515,000",5 beds,3.5 baths,"3,980 sq ft"
"4930 Oak Ave, Hammond, IN 46327","$244,900",4 beds,2.5 baths,"2,388 sq ft"
"2015 N Woodlawn Park Ave, Mchenry, IL 60051","$849,900",3 beds,3.5 baths,"2,500 sq ft"
"95 Hillside Ct, Fox Lake, IL 60020","$194,999",2 beds,1 bath,630 sq ft
"16400 Fox Creek Ln, Plainfield, IL 60586","$469,900",6 beds,3.5 baths,"2,888 sq ft"
"153 N Bend Way, Elgin, IL 60124","$639,999",5 beds,3 baths,"3,050 sq ft"
"4534 N Cumberland Ave #301, Chicago, IL 60656","$240,000",1 bed,1 bath,— sq ft
"5307 May Ave, Richmond, IL 60071","$325,000",3 beds,2.5 baths,"1,523 sq ft"
"4855 W Montrose Ave, Chicago, IL 60641","$479,000",3 beds,2 baths,"1,421 sq ft"
"10535 154th Pl, Orland Park, IL 60462","$362,000",2 beds,2.5 baths,"1,783 sq ft"
"3605 Gregory St, Madison, WI 53711","$509,000",2 beds,1 bath,"1,250 sq ft"
"296 E 149th St, Harvey, IL 60426","$65,000",3 beds,1 bath,772 sq ft
"828 State St, Lemont, IL 60439","$375,000",3 beds,2 baths,"1,676 sq ft"
"11217 S Avenue L Ave, Chicago, IL 60617","$164,900",2 beds,1 bath,947 sq ft
